drug_id,node_index
CID000002173,0
CID000005206,1
CID000003929,2
CID000001302,3
CID000005267,4
CID000004601,5
CID000005090,6
CID000004946,7
CID000005391,8
CID000002802,9
CID000004212,10
CID000000596,11
CID000002522,12
CID000003405,13
CID000003446,14
CID000004107,15
CID000003161,16
CID000003823,17
CID000005556,18
CID000002156,19
CID000002907,20
CID000004192,21
CID000000838,22
CID000001986,23
CID000004920,24
CID000005478,25
CID000003937,26
CID000004158,27
CID000003696,28
CID000003899,29
CID000000853,30
CID000003826,31
CID000003143,32
CID000004736,33
CID000005005,34
CID000003261,35
CID000002162,36
CID000004259,37
CID000003957,38
CID000004595,39
CID000002666,40
CID000003007,41
CID000003559,42
CID000004909,43
CID000002520,44
CID000004889,45
CID000003958,46
CID000005505,47
CID000038904,48
CID000004485,49
CID000005245,50
CID000039765,51
CID000004635,52
CID000002554,53
CID000002650,54
CID000003749,55
CID000003440,56
CID000002909,57
CID000003075,58
CID000005647,59
CID000003386,60
CID000000271,61
CID000003016,62
CID000003750,63
CID000004173,64
CID000004159,65
CID000001065,66
CID000002576,67
CID000002541,68
CID000004543,69
CID000004917,70
CID000003640,71
CID000060831,72
CID000002022,73
CID000000206,74
CID000003793,75
CID000000450,76
CID000002756,77
CID000003657,78
CID000003890,79
CID000002088,80
CID000004034,81
CID000002891,82
CID000002585,83
CID000005358,84
CID000005234,85
CID000002578,86
CID000005038,87
CID000002118,88
CID000003715,89
CID000004264,90
CID000003062,91
CID000003825,92
CID000002487,93
CID000000214,94
CID000002405,95
CID000003648,96
CID000000772,97
CID000003365,98
CID000002609,99
CID000002656,100
CID000005523,101
CID000003661,102
CID000003308,103
CID000005203,104
CID000004201,105
CID000003043,106
CID000004509,107
CID000003222,108
CID000005040,109
CID000003404,110
CID000004679,111
CID000060147,112
CID000005077,113
CID000003878,114
CID000002244,115
CID000003345,116
CID000027661,117
CID000004054,118
CID000003911,119
CID000003348,120
CID000002771,121
CID000003279,122
CID000004253,123
CID000003333,124
CID000060795,125
CID000000453,126
CID000000159,127
CID000003419,128
CID000005533,129
CID000005379,130
CID000005039,131
CID000003463,132
CID000000598,133
CID000002284,134
CID000002662,135
CID003085017,136
CID000004829,137
CID000003385,138
CID000003203,139
CID000003954,140
CID000002153,141
CID000005152,142
CID000005645,143
CID000005717,144
CID000002726,145
CID000004999,146
CID000004547,147
CID000002471,148
CID000003305,149
CID000002806,150
CID000002631,151
CID000003410,152
CID000003449,153
CID000002083,154
CID000001690,155
CID000002617,156
CID000005731,157
CID000004046,158
CID000001972,159
CID000004900,160
CID000003152,161
CID000000444,162
CID000005726,163
CID000004585,164
CID000005078,165
CID000041693,166
CID000005372,167
CID000003961,168
CID000004691,169
CID000004594,170
CID000004927,171
CID000004091,172
CID000001117,173
CID000005076,174
CID000003355,175
CID000004112,176
CID000005412,177
CID000003108,178
CID000002250,179
CID000002265,180
CID000002801,181
CID000059708,182
CID000003877,183
CID000002749,184
CID000002720,185
CID000003639,186
CID000004634,187
CID000002764,188
CID000000942,189
CID000004211,190
CID000004170,191
CID000003746,192
CID000003042,193
CID000001206,194
CID000004609,195
CID000004411,196
CID000004138,197
CID000005212,198
CID000002311,199
CID000003148,200
CID000083786,201
CID000001775,202
CID000003767,203
CID000002658,204
CID000054454,205
CID000000861,206
CID000003255,207
CID000005512,208
CID000003672,209
CID000002550,210
CID000003032,211
CID000002187,212
CID000002267,213
CID000005514,214
CID000001546,215
CID000041781,216
CID000002249,217
CID000004599,218
CID000003488,219
