InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C24H23F2NO4/c25-17-5-1-15(2-6-17)22(29)14-13-21(24(30)31)23(16-3-11-20(28)12-4-16)27-19-9-7-18(26)8-10-19/h1-12,21-23,27-29H,13-14H2,(H,30,31)",XGNDFEVQHMNNOJ-UHFFFAOYSA-N,C1=CC(=CC=C1C(C(C(=O)O)CCC(C2=CC=C(C=C2)F)O)NC3=CC=C(C=C3)F)O,,,C24H23F2NO4,427.159514656,4.8602,1,1,1,BTM00001,BTM00001,Hydrolysis of cyclic tertiary carboxamide,BTMR0094,EC 3.5.2.X,HUMAN,,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O,"InChI=1S/C24H21F2NO3/c25-17-5-1-15(2-6-17)22(29)14-13-21-23(16-3-11-20(28)12-4-16)27(24(21)30)19-9-7-18(26)8-10-19/h1-12,21-23,28-29H,13-14H2",OLNTVTPDXPETLC-UHFFFAOYSA-N,,409.1489
"InChI=1S/C30H29F2NO9/c31-17-5-1-15(2-6-17)22(34)14-13-21-23(33(28(21)38)19-9-7-18(32)8-10-19)16-3-11-20(12-4-16)41-30-26(37)24(35)25(36)27(42-30)29(39)40/h1-12,21-27,30,34-37H,13-14H2,(H,39,40)",UOFYCFMTERCNEW-UHFFFAOYSA-N,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)OC5OC(C(O)=O)C(C(C5O)O)O,,,C30H29F2NO9,585.181037948,2.912199999999999,1,1,1,BTM00002,BTM00002,Aromatic OH-glucuronidation,BTMR0166,EC 2.4.1.17,HUMAN,,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O,"InChI=1S/C24H21F2NO3/c25-17-5-1-15(2-6-17)22(29)14-13-21-23(16-3-11-20(28)12-4-16)27(24(21)30)19-9-7-18(26)8-10-19/h1-12,21-23,28-29H,13-14H2",OLNTVTPDXPETLC-UHFFFAOYSA-N,,409.1489
"InChI=1S/C24H21F2NO6S/c25-17-5-1-15(2-6-17)22(28)14-13-21-23(16-3-11-20(12-4-16)33-34(30,31)32)27(24(21)29)19-9-7-18(26)8-10-19/h1-12,21-23,28H,13-14H2,(H,30,31,32)",GCTNLAAOCRRZBZ-UHFFFAOYSA-N,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)OS(O)(=O)=O,,,C24H21F2NO6S,489.105764832,3.870900000000001,0,0,0,BTM00003,BTM00003,Sulfonation of phenolic compound,BTMR1376,EC 2.8.2.1,HUMAN,,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O,"InChI=1S/C24H21F2NO3/c25-17-5-1-15(2-6-17)22(29)14-13-21-23(16-3-11-20(28)12-4-16)27(24(21)30)19-9-7-18(26)8-10-19/h1-12,21-23,28-29H,13-14H2",OLNTVTPDXPETLC-UHFFFAOYSA-N,,409.1489
"InChI=1S/C24H21F2NO6S/c25-17-5-1-15(2-6-17)22(33-34(30,31)32)14-13-21-23(16-3-11-20(28)12-4-16)27(24(21)29)19-9-7-18(26)8-10-19/h1-12,21-23,28H,13-14H2,(H,30,31,32)",PSZKQFQAVAQJQN-UHFFFAOYSA-N,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)OS(O)(=O)=O)O,,,C24H21F2NO6S,489.1057648320001,4.028400000000002,0,0,0,BTM00004,BTM00004,Sulfation of secondary alcohol,BTMR0502,EC 2.8.2.2,HUMAN,,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O,"InChI=1S/C24H21F2NO3/c25-17-5-1-15(2-6-17)22(29)14-13-21-23(16-3-11-20(28)12-4-16)27(24(21)30)19-9-7-18(26)8-10-19/h1-12,21-23,28-29H,13-14H2",OLNTVTPDXPETLC-UHFFFAOYSA-N,,409.1489
"InChI=1S/C25H23F2NO3/c1-31-21-12-4-17(5-13-21)24-22(14-15-23(29)16-2-6-18(26)7-3-16)25(30)28(24)20-10-8-19(27)9-11-20/h2-13,22-24,29H,14-15H2,1H3",VQCCICHRYOLKIO-UHFFFAOYSA-N,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)OC,,,C25H23F2NO3,423.164600036,4.858700000000002,0,0,0,BTM00005,BTM00005,Methylation of phenolic compound,BTMR1377,EC 2.1.1.25,HUMAN,,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O,"InChI=1S/C24H21F2NO3/c25-17-5-1-15(2-6-17)22(29)14-13-21-23(16-3-11-20(28)12-4-16)27(24(21)30)19-9-7-18(26)8-10-19/h1-12,21-23,28-29H,13-14H2",OLNTVTPDXPETLC-UHFFFAOYSA-N,,409.1489
"InChI=1S/C24H19F2NO3/c25-17-5-1-15(2-6-17)22(29)14-13-21-23(16-3-11-20(28)12-4-16)27(24(21)30)19-9-7-18(26)8-10-19/h1-12,21,23,28H,13-14H2",UEPZDXMEEKCJSP-UHFFFAOYSA-N,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)=O)O,,,C24H19F2NO3,407.133299908,4.717799999999999,0,0,0,BTM00006,BTM00006,Oxidation of secondary alcohol to ketone,BTMR0079,"CYP1A2
CYP2C9
CYP2C19",HUMAN,,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O,"InChI=1S/C24H21F2NO3/c25-17-5-1-15(2-6-17)22(29)14-13-21-23(16-3-11-20(28)12-4-16)27(24(21)30)19-9-7-18(26)8-10-19/h1-12,21-23,28-29H,13-14H2",OLNTVTPDXPETLC-UHFFFAOYSA-N,,409.1489
"InChI=1S/C24H21F2NO4/c25-16-4-1-14(2-5-16)20(28)12-10-19-23(15-3-11-21(29)22(30)13-15)27(24(19)31)18-8-6-17(26)7-9-18/h1-9,11,13,19-20,23,28-30H,10,12H2",BURMXWVJBWQPAJ-UHFFFAOYSA-N,C1=CC(=C(C=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O)O,,,C24H21F2NO4,425.143864592,4.340300000000001,0,1,1,BTM00007,BTM00007,"2-Hydroxylation of 1,4-disubstituted benzene",BTMR0037,CYP1A2,HUMAN,,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O,"InChI=1S/C24H21F2NO3/c25-17-5-1-15(2-6-17)22(29)14-13-21-23(16-3-11-20(28)12-4-16)27(24(21)30)19-9-7-18(26)8-10-19/h1-12,21-23,28-29H,13-14H2",OLNTVTPDXPETLC-UHFFFAOYSA-N,,409.1489
"InChI=1S/C24H21F2NO4/c25-16-4-6-17(7-5-16)27-23(14-1-8-18(28)9-2-14)19(24(27)31)10-12-21(29)15-3-11-20(26)22(30)13-15/h1-9,11,13,19,21,23,28-30H,10,12H2",NYSRJISQWBIDLN-UHFFFAOYSA-N,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C(=C4)O)F)O)O,,,C24H21F2NO4,425.14386459200006,4.340300000000001,0,1,1,BTM00008,BTM00008,"2-Hydroxylation of 1,4-disubstituted benzene",BTMR0037,CYP1A2,HUMAN,,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O,"InChI=1S/C24H21F2NO3/c25-17-5-1-15(2-6-17)22(29)14-13-21-23(16-3-11-20(28)12-4-16)27(24(21)30)19-9-7-18(26)8-10-19/h1-12,21-23,28-29H,13-14H2",OLNTVTPDXPETLC-UHFFFAOYSA-N,,409.1489
"InChI=1S/C24H21F2NO4/c25-16-5-1-14(2-6-16)21(29)12-10-19-23(15-3-8-18(28)9-4-15)27(24(19)31)17-7-11-20(26)22(30)13-17/h1-9,11,13,19,21,23,28-30H,10,12H2",POYXUABTDPMIPP-UHFFFAOYSA-N,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C(=C3)O)F)CCC(C4=CC=C(C=C4)F)O)O,,,C24H21F2NO4,425.14386459200006,4.340300000000001,0,1,1,BTM00009,BTM00009,"2-Hydroxylation of 1,4-disubstituted benzene",BTMR0037,CYP1A2,HUMAN,,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O,"InChI=1S/C24H21F2NO3/c25-17-5-1-15(2-6-17)22(29)14-13-21-23(16-3-11-20(28)12-4-16)27(24(21)30)19-9-7-18(26)8-10-19/h1-12,21-23,28-29H,13-14H2",OLNTVTPDXPETLC-UHFFFAOYSA-N,,409.1489
"InChI=1S/C24H21F2NO4/c25-17-5-1-15(2-6-17)21(29)13-14-24(31)22(16-3-11-20(28)12-4-16)27(23(24)30)19-9-7-18(26)8-10-19/h1-12,21-22,28-29,31H,13-14H2",WROLSRIIMPJVOE-UHFFFAOYSA-N,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)(CCC(C4=CC=C(C=C4)F)O)O)O,,,C24H21F2NO4,425.143864592,3.8722000000000008,0,1,1,BTM00010,BTM00010,alpha-Hydroxylation of carbonyl group,BTMR1054,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O,"InChI=1S/C24H21F2NO3/c25-17-5-1-15(2-6-17)22(29)14-13-21-23(16-3-11-20(28)12-4-16)27(24(21)30)19-9-7-18(26)8-10-19/h1-12,21-23,28-29H,13-14H2",OLNTVTPDXPETLC-UHFFFAOYSA-N,,409.1489
