InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C27H38O3/c1-17(6-13-25(29)20-8-9-20)23-11-12-24-19(5-4-14-27(23,24)3)7-10-21-15-22(28)16-26(30)18(21)2/h6-7,10,13,17,20,23-26,29-30H,2,4-5,8-9,11-12,14-16H2,1,3H3/b13-6+,19-7?,21-10-",OMIZHLIIMMYCAK-BCTPDSNJSA-N,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)=O)C,,,C27H38O3,410.28209507599996,4.612599999999998,1,0,0,BTM00001,BTM00001,Oxidation of secondary alcohol to ketone,BTMR0079,"CYP1A2
CYP2C9
CYP2C19",HUMAN,,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C,"InChI=1S/C27H40O3/c1-17(6-13-25(29)20-8-9-20)23-11-12-24-19(5-4-14-27(23,24)3)7-10-21-15-22(28)16-26(30)18(21)2/h6-7,10,13,17,20,22-26,28-30H,2,4-5,8-9,11-12,14-16H2,1,3H3",LWQQLNNNIPYSNX-UHFFFAOYSA-N,,412.2977
"InChI=1S/C27H38O3/c1-17(6-13-25(29)20-8-9-20)23-11-12-24-19(5-4-14-27(23,24)3)7-10-21-15-22(28)16-26(30)18(21)2/h6-7,10,13,17,20,22-25,28-29H,2,4-5,8-9,11-12,14-16H2,1,3H3/b13-6+,19-7?,21-10-",JJZROEIULCIMEC-BCTPDSNJSA-N,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)=O)O)C,,,C27H38O3,410.28209507599996,4.898999999999998,1,0,0,BTM00008,BTM00008,Oxidation of secondary alcohol to ketone,BTMR0079,"CYP1A2
CYP2C9
CYP2C19",HUMAN,,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C,"InChI=1S/C27H40O3/c1-17(6-13-25(29)20-8-9-20)23-11-12-24-19(5-4-14-27(23,24)3)7-10-21-15-22(28)16-26(30)18(21)2/h6-7,10,13,17,20,22-26,28-30H,2,4-5,8-9,11-12,14-16H2,1,3H3",LWQQLNNNIPYSNX-UHFFFAOYSA-N,,412.2977
"InChI=1S/C27H38O3/c1-17(6-13-25(29)20-8-9-20)23-11-12-24-19(5-4-14-27(23,24)3)7-10-21-15-22(28)16-26(30)18(21)2/h6-7,10,13,17,20,22-24,26,28,30H,2,4-5,8-9,11-12,14-16H2,1,3H3/b13-6?,19-7?,21-10-",KKDBQSPKXAUHPH-CBWKNYAISA-N,CC(C=CC(C1CC1)=O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C,,,C27H38O3,410.28209507599996,4.783399999999998,1,0,0,BTM00009,BTM00009,Oxidation of secondary alcohol to ketone,BTMR0079,"CYP1A2
CYP2C9
CYP2C19",HUMAN,,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C,"InChI=1S/C27H40O3/c1-17(6-13-25(29)20-8-9-20)23-11-12-24-19(5-4-14-27(23,24)3)7-10-21-15-22(28)16-26(30)18(21)2/h6-7,10,13,17,20,22-26,28-30H,2,4-5,8-9,11-12,14-16H2,1,3H3",LWQQLNNNIPYSNX-UHFFFAOYSA-N,,412.2977
"InChI=1S/C27H40O4/c1-16(4-12-24(29)19-6-7-19)22-10-11-23-18(9-13-26(31)27(22,23)3)5-8-20-14-21(28)15-25(30)17(20)2/h4-5,8,12,16,19,21-26,28-31H,2,6-7,9-11,13-15H2,1,3H3/b12-4+,18-5?,20-8-",ZWKGZWVIMJCXOZ-LQZAZUCASA-N,CC(C=CC(C1CC1)O)C2CCC3C2(C(CCC3=CC=C4CC(CC(C4=C)O)O)O)C,,,C27H40O4,428.29265976,3.577799999999997,0,1,1,BTM00010,BTM00010,Hydroxylation of alicyclic secondary carbon,BTMR1068,"CYP1A2
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C,"InChI=1S/C27H40O3/c1-17(6-13-25(29)20-8-9-20)23-11-12-24-19(5-4-14-27(23,24)3)7-10-21-15-22(28)16-26(30)18(21)2/h6-7,10,13,17,20,22-26,28-30H,2,4-5,8-9,11-12,14-16H2,1,3H3",LWQQLNNNIPYSNX-UHFFFAOYSA-N,,412.2977
"InChI=1S/C27H40O4/c1-16(4-11-25(30)18-5-6-18)23-9-10-24-20(13-22(29)15-27(23,24)3)8-7-19-12-21(28)14-26(31)17(19)2/h4,7-8,11,16,18,21-26,28-31H,2,5-6,9-10,12-15H2,1,3H3/b11-4+,19-7-,20-8?",GDTMNWOOMSOXSL-KARMKSPBSA-N,CC(C=CC(C1CC1)O)C2CCC3C2(CC(CC3=CC=C4CC(CC(C4=C)O)O)O)C,,,C27H40O4,428.29265976,3.4427999999999983,0,1,1,BTM00011,BTM00011,Hydroxylation of alicyclic secondary carbon,BTMR1068,"CYP1A2
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C,"InChI=1S/C27H40O3/c1-17(6-13-25(29)20-8-9-20)23-11-12-24-19(5-4-14-27(23,24)3)7-10-21-15-22(28)16-26(30)18(21)2/h6-7,10,13,17,20,22-26,28-30H,2,4-5,8-9,11-12,14-16H2,1,3H3",LWQQLNNNIPYSNX-UHFFFAOYSA-N,,412.2977
"InChI=1S/C27H40O4/c1-16(6-13-23(28)19-8-9-19)21-11-12-22-18(5-4-14-27(21,22)3)7-10-20-15-24(29)26(31)25(30)17(20)2/h6-7,10,13,16,19,21-26,28-31H,2,4-5,8-9,11-12,14-15H2,1,3H3/b13-6+,18-7?,20-10+",AVSSPBPEPVEQSI-WZZZZILBSA-N,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(C(C(C4=C)O)O)O)C,,,C27H40O4,428.29265976,4.1065999999999985,1,1,1,BTM00012,BTM00012,Hydroxylation of alicyclic secondary carbon,BTMR1068,"CYP1A2
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C,"InChI=1S/C27H40O3/c1-17(6-13-25(29)20-8-9-20)23-11-12-24-19(5-4-14-27(23,24)3)7-10-21-15-22(28)16-26(30)18(21)2/h6-7,10,13,17,20,22-26,28-30H,2,4-5,8-9,11-12,14-16H2,1,3H3",LWQQLNNNIPYSNX-UHFFFAOYSA-N,,412.2977
"InChI=1S/C27H40O4/c1-15-19(13-20(28)14-23(15)29)9-6-17-5-4-12-27(3)21(10-11-22(17)27)16(2)25-26(31-25)24(30)18-7-8-18/h6,9,16,18,20-26,28-30H,1,4-5,7-8,10-14H2,2-3H3/b17-6?,19-9-",UXUGHAZEZCQJNC-UVRARLDVSA-N,CC(C1C(C(C2CC2)O)O1)C3CCC4C3(CCCC4=CC=C5CC(CC(C5=C)O)O)C,,,C27H40O4,428.29265976,3.8894999999999977,0,1,1,BTM00013,BTM00013,Epoxidation of alkene,BTMR0109,"CYP1A2
CYP2B6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C,"InChI=1S/C27H40O3/c1-17(6-13-25(29)20-8-9-20)23-11-12-24-19(5-4-14-27(23,24)3)7-10-21-15-22(28)16-26(30)18(21)2/h6-7,10,13,17,20,22-26,28-30H,2,4-5,8-9,11-12,14-16H2,1,3H3",LWQQLNNNIPYSNX-UHFFFAOYSA-N,,412.2977
"InChI=1S/C27H40O4/c1-17-20(14-22(29)15-26(17)31)8-5-18-4-3-13-27(2)23(18)10-11-24(27)21(16-28)9-12-25(30)19-6-7-19/h5,8-9,12,19,21-26,28-31H,1,3-4,6-7,10-11,13-16H2,2H3/b12-9+,18-5?,20-8-",ZPGXMMRNNXZEBP-PDADZKINSA-N,C(C(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C)O,,,C27H40O4,428.29265976,3.521499999999997,0,1,1,BTM00014,BTM00014,Hydroxylation of terminal methyl,BTMR1061,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C,"InChI=1S/C27H40O3/c1-17(6-13-25(29)20-8-9-20)23-11-12-24-19(5-4-14-27(23,24)3)7-10-21-15-22(28)16-26(30)18(21)2/h6-7,10,13,17,20,22-26,28-30H,2,4-5,8-9,11-12,14-16H2,1,3H3",LWQQLNNNIPYSNX-UHFFFAOYSA-N,,412.2977
"InChI=1S/C27H38O3/c1-17(6-13-25(29)20-8-9-20)23-11-12-24-19(5-4-14-27(23,24)3)7-10-21-15-22(28)16-26(30)18(21)2/h6-7,10,13,20,22-26,28-30H,1-2,4-5,8-9,11-12,14-16H2,3H3/b13-6+,19-7?,21-10-",YEMHSOPSPCEONL-BCTPDSNJSA-N,C=C(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C,,,C27H38O3,410.282095076,4.483599999999996,1,1,1,BTM00015,BTM00015,Terminal desaturation,BTMR1190,"CYP1A2
CYP2A6
CYP2C9
CYP2D6
CYP3A4",HUMAN,,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C,"InChI=1S/C27H40O3/c1-17(6-13-25(29)20-8-9-20)23-11-12-24-19(5-4-14-27(23,24)3)7-10-21-15-22(28)16-26(30)18(21)2/h6-7,10,13,17,20,22-26,28-30H,2,4-5,8-9,11-12,14-16H2,1,3H3",LWQQLNNNIPYSNX-UHFFFAOYSA-N,,412.2977
"InChI=1S/C27H40O4/c1-17(6-11-24(29)19-7-8-19)23-12-14-27(31)21(5-4-13-26(23,27)3)10-9-20-15-22(28)16-25(30)18(20)2/h6,9-11,17,19,22-25,28-31H,2,4-5,7-8,12-16H2,1,3H3/b11-6+,20-9-,21-10?",QZWITSBHFLFIMF-QGGWJGHHSA-N,CC(C=CC(C1CC1)O)C2CCC3(C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C)O,,,C27H40O4,428.29265976,3.733499999999993,0,1,1,BTM00016,BTM00016,Hydroxylation of alicyclic tertiary carbon,BTMR1243,CYP1A2,HUMAN,,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C,"InChI=1S/C27H40O3/c1-17(6-13-25(29)20-8-9-20)23-11-12-24-19(5-4-14-27(23,24)3)7-10-21-15-22(28)16-26(30)18(21)2/h6-7,10,13,17,20,22-26,28-30H,2,4-5,8-9,11-12,14-16H2,1,3H3",LWQQLNNNIPYSNX-UHFFFAOYSA-N,,412.2977
