twosides_drug_id,matched_drugbank_id,matched_drugbank_name,match_method
CID000002173,DB00415,Ampicillin,Connectivity InChIKey
CID000003345,DB00813,Fentanyl,PubChem CID
CID000005206,DB01236,Sevoflurane,PubChem CID
CID000009433,DB01223,Aminophylline,PubChem CID
CID000003929,DB00601,Linezolid,Connectivity InChIKey
CID000150610,DB00303,Ertapenem,PubChem CID
CID000001302,DB00788,Naproxen,Connectivity InChIKey
CID000005064,DB00811,Ribavirin,Connectivity InChIKey
CID000005267,DB00421,Spironolactone,Connectivity InChIKey
CID000010631,,,Unmatched
CID000004601,DB01173,Orphenadrine,PubChem CID
CID000005376,DB00675,Tamoxifen,Connectivity InChIKey
CID000005090,DB00533,Rofecoxib,PubChem CID
CID000005556,DB00897,Triazolam,PubChem CID
CID000004946,DB00571,Propranolol,PubChem CID
CID000130881,,,Unmatched
CID000005391,DB00231,Temazepam,PubChem CID
CID000005584,DB00726,Trimipramine,PubChem CID
CID000002802,DB01068,Clonazepam,PubChem CID
CID005381226,DB01045,Rifampin,PubChem CID
CID000004212,DB01204,Mitoxantrone,PubChem CID
CID000060953,DB01101,Capecitabine,PubChem CID
CID000000596,DB00987,Cytarabine,Connectivity InChIKey
CID000005726,DB00495,Zidovudine,Connectivity InChIKey
CID000002522,DB02300,Calcipotriol,Connectivity InChIKey
CID000003308,DB00749,Etodolac,PubChem CID
CID000003405,DB00158,Folic acid,Connectivity InChIKey
CID000060795,DB01238,Aripiprazole,PubChem CID
CID000003446,DB00996,Gabapentin,PubChem CID
CID004183806,DB00929,Misoprostol,Connectivity InChIKey
CID000004107,DB00423,Methocarbamol,PubChem CID
CID000004917,DB00433,Prochlorperazine,PubChem CID
CID000003161,,,Unmatched
CID000071329,DB00204,Dofetilide,PubChem CID
CID000003823,DB01026,Ketoconazole,PubChem CID
CID000003911,,,Unmatched
CID000054454,DB00641,Simvastatin,PubChem CID
CID000002156,DB01118,Amiodarone,Connectivity InChIKey
CID000004411,DB01203,Nadolol,Connectivity InChIKey
CID000002907,DB00531,Cyclophosphamide,PubChem CID
CID000004192,DB00683,Midazolam,PubChem CID
CID000083786,,,Unmatched
CID000003348,DB00950,Fexofenadine,PubChem CID
CID000000838,DB00668,Epinephrine,Connectivity InChIKey
CID000002617,DB01327,Cefazolin,Connectivity InChIKey
CID000001986,DB00819,Acetazolamide,PubChem CID
CID000006691,,,Unmatched
CID000004920,DB00396,Progesterone,Connectivity InChIKey
CID000005478,DB00373,Timolol,Connectivity InChIKey
CID006398525,,,Unmatched
CID000003937,DB00722,Lisinopril,Connectivity InChIKey
CID005311048,,,Unmatched
CID000004158,DB00422,Methylphenidate,PubChem CID
CID000005523,DB00193,Tramadol,Full InChIKey
CID000003696,DB00458,Imipramine,PubChem CID
CID000004112,DB00563,Methotrexate,Connectivity InChIKey
CID000003899,DB01097,Leflunomide,PubChem CID
CID000004473,DB00622,Nicardipine,Connectivity InChIKey
CID000000853,DB00451,Levothyroxine,Connectivity InChIKey
CID005311181,DB01088,Iloprost,PubChem CID
CID000032797,DB11750,Clobetasol,Connectivity InChIKey
CID000059708,DB11868,Etiracetam,PubChem CID
CID000003826,DB00465,Ketorolac,PubChem CID
CID000003143,DB01248,Docetaxel,Connectivity InChIKey
CID000004736,DB00652,Pentazocine,Full InChIKey
CID000005038,DB00178,Ramipril,Connectivity InChIKey
CID000005039,DB00863,Ranitidine,Full InChIKey
CID000005005,DB00881,Quinapril,Connectivity InChIKey
CID005493444,DB09026,Aliskiren,PubChem CID
CID000003261,DB01215,Estazolam,PubChem CID
CID000003746,DB00332,Ipratropium,Connectivity InChIKey
CID000028112,,,Unmatched
CID000002162,DB00381,Amlodipine,PubChem CID
CID000003386,DB00472,Fluoxetine,PubChem CID
CID000004259,DB00218,Moxifloxacin,Connectivity InChIKey
CID000119607,DB00580,Valdecoxib,PubChem CID
CID000087177,,,Unmatched
CID000003957,DB00455,Loratadine,PubChem CID
CID000004509,DB00698,Nitrofurantoin,Connectivity InChIKey
CID000004595,DB00904,Ondansetron,PubChem CID
CID000104865,DB00559,Bosentan,PubChem CID
CID000002666,DB00567,Cephalexin,Connectivity InChIKey
CID000003007,DB00182,Amphetamine,PubChem CID
CID000004506,DB01595,Nitrazepam,PubChem CID
CID000003559,DB00502,Haloperidol,PubChem CID
CID000004909,DB00794,Primidone,PubChem CID
CID000060831,DB01409,Tiotropium,Connectivity InChIKey
CID000002520,DB00661,Verapamil,PubChem CID
CID000060852,DB00710,Ibandronate,PubChem CID
CID000060854,DB00246,Ziprasidone,PubChem CID
CID000004889,DB00175,Pravastatin,Connectivity InChIKey
CID000003958,DB00186,Lorazepam,PubChem CID
CID005353980,,,Unmatched
CID000005505,DB01124,Tolbutamide,PubChem CID
CID000216326,DB00480,Lenalidomide,PubChem CID
CID000038904,DB00958,Carboplatin,PubChem CID
CID005281007,,,Unmatched
CID000004485,DB01115,Nifedipine,PubChem CID
CID000004539,DB01059,Norfloxacin,PubChem CID
CID000005245,DB00884,Risedronic acid,PubChem CID
CID000176870,DB00530,Erlotinib,PubChem CID
CID000039765,DB01339,Vecuronium,PubChem CID
CID000041774,,,Unmatched
CID000667490,DB01033,Mercaptopurine,PubChem CID
CID000004635,DB00497,Oxycodone,Connectivity InChIKey
CID000065999,DB00966,Telmisartan,PubChem CID
CID000005656,DB00285,Venlafaxine,PubChem CID
CID000005650,DB00177,Valsartan,Connectivity InChIKey
CID000005651,DB00512,Vancomycin,Connectivity InChIKey
CID000004510,DB00727,Nitroglycerin,PubChem CID
CID000002554,DB00564,Carbamazepine,PubChem CID
CID000005717,DB00549,Zafirlukast,PubChem CID
CID000002650,DB00438,Ceftazidime,Connectivity InChIKey
CID000003222,DB00584,Enalapril,Connectivity InChIKey
CID000003749,DB01029,Irbesartan,PubChem CID
CID000004201,DB00350,Minoxidil,PubChem CID
CID000003440,DB00695,Furosemide,PubChem CID
CID005481350,DB00300,Tenofovir disoproxil,PubChem CID
CID000002909,DB00091,Cyclosporine,Connectivity InChIKey
CID000057469,DB00724,Imiquimod,PubChem CID
CID000003075,DB00343,Diltiazem,Connectivity InChIKey
CID000027661,DB01020,Isosorbide mononitrate,PubChem CID
CID000005647,DB00577,Valaciclovir,Connectivity InChIKey
CID000123620,DB00764,Mometasone,Connectivity InChIKey
CID000000271,DB14577,Calcium cation,Full InChIKey
CID000002405,DB00612,Bisoprolol,PubChem CID
CID000003016,DB00829,Diazepam,PubChem CID
CID000004189,DB01110,Miconazole,PubChem CID
CID000003750,DB00762,Irinotecan,Connectivity InChIKey
CID000004666,DB01229,Paclitaxel,Connectivity InChIKey
CID000004173,DB00916,Metronidazole,PubChem CID
CID000005538,DB00755,Tretinoin,PubChem CID
CID000004159,DB00959,Methylprednisolone,Connectivity InChIKey
CID005311297,,,Unmatched
CID000001065,DB00468,Quinine,Connectivity InChIKey
CID000002576,DB00395,Carisoprodol,PubChem CID
CID000002541,DB13919,Candesartan,PubChem CID
CID000002585,DB01136,Carvedilol,PubChem CID
CID000004543,DB00540,Nortriptyline,PubChem CID
CID000004599,DB01083,Orlistat,Connectivity InChIKey
CID000019090,DB19378,Megestrol,Connectivity InChIKey
CID000003640,DB00741,Hydrocortisone,Connectivity InChIKey
CID000005512,DB01036,Tolterodine,Connectivity InChIKey
CID000005533,DB00656,Trazodone,PubChem CID
CID000077999,DB00412,Rosiglitazone,PubChem CID
CID000002022,DB00787,Acyclovir,PubChem CID
CID000002092,DB00346,Alfuzosin,PubChem CID
CID000000206,DB02379,Beta-D-Glucose,Connectivity InChIKey
CID000003793,DB01167,Itraconazole,Connectivity InChIKey
CID000036339,DB00292,Etomidate,Connectivity InChIKey
CID000000450,DB00783,Estradiol,Connectivity InChIKey
CID000002678,DB00341,Cetirizine,PubChem CID
CID000004927,DB01069,Promethazine,PubChem CID
CID000002756,DB00501,Cimetidine,PubChem CID
CID000002803,DB00575,Clonidine,PubChem CID
CID000005672,DB00361,Vinorelbine,Connectivity InChIKey
CID000060835,DB00476,Duloxetine,PubChem CID
CID000005530,DB00752,Tranylcypromine,PubChem CID
CID000003657,DB01005,Hydroxyurea,PubChem CID
CID000003890,DB00654,Latanoprost,Connectivity InChIKey
CID004475485,,,Unmatched
CID000002088,DB00630,Alendronic acid,PubChem CID
CID000156419,DB01012,Cinacalcet,PubChem CID
CID000004034,DB00737,Meclizine,PubChem CID
CID000004451,DB00220,Nelfinavir,Connectivity InChIKey
CID000002891,,,Unmatched
CID000060865,DB00768,Olopatadine,Connectivity InChIKey
CID000004893,DB00457,Prazosin,PubChem CID
CID000005358,DB00669,Sumatriptan,PubChem CID
CID000004894,DB00860,Prednisolone,Connectivity InChIKey
CID000005234,DB09153,Sodium chloride,PubChem CID
CID000002578,DB00262,Carmustine,PubChem CID
CID006447131,DB00337,Pimecrolimus,Connectivity InChIKey
CID000002118,DB00404,Alprazolam,PubChem CID
CID000003715,DB00328,Indomethacin,PubChem CID
CID000004264,DB00410,Mupirocin,Connectivity InChIKey
CID000003062,DB00390,Digoxin,Connectivity InChIKey
CID000003825,DB01009,Ketoprofen,PubChem CID
CID000004052,,,Unmatched
CID000002487,DB00611,Butorphanol,Connectivity InChIKey
CID000216239,DB00398,Sorafenib,PubChem CID
CID000003152,DB00843,Donepezil,PubChem CID
CID000027686,,,Unmatched
CID000004723,DB01230,Pemoline,PubChem CID
CID000003883,DB00448,Lansoprazole,PubChem CID
CID000003157,DB00590,Doxazosin,PubChem CID
CID000003154,DB00869,Dorzolamide,Connectivity InChIKey
CID000000214,DB00770,Alprostadil,Connectivity InChIKey
CID000003003,DB00443,Betamethasone,Connectivity InChIKey
CID000003158,DB01142,Doxepin,Full InChIKey
CID000003333,DB01023,Felodipine,PubChem CID
CID006398970,DB00535,Cefdinir,Connectivity InChIKey
CID000003648,DB00327,Hydromorphone,Connectivity InChIKey
CID000000772,,,Unmatched
CID003081884,,,Unmatched
CID000005544,DB00620,Triamcinolone,Connectivity InChIKey
CID000003365,DB00196,Fluconazole,PubChem CID
CID000060147,DB00706,Tamsulosin,Connectivity InChIKey
CID000002609,DB00833,Cefaclor,Connectivity InChIKey
CID000004594,DB00338,Omeprazole,PubChem CID
CID000002656,DB01212,Ceftriaxone,Connectivity InChIKey
CID000002662,DB00482,Celecoxib,PubChem CID
CID000003661,DB00424,Hyoscyamine,Connectivity InChIKey
CID000004419,DB00844,Nalbuphine,Connectivity InChIKey
CID000004679,DB00213,Pantoprazole,PubChem CID
CID000005210,DB01105,Sibutramine,PubChem CID
CID000005203,DB01104,Sertraline,Connectivity InChIKey
CID000003043,DB00900,Didanosine,Connectivity InChIKey
CID000124087,DB00967,Desloratadine,PubChem CID
CID000003516,DB00874,Guaifenesin,PubChem CID
CID000003510,DB00889,Granisetron,Connectivity InChIKey
CID000005040,DB00877,Sirolimus,Connectivity InChIKey
CID000152945,DB01126,Dutasteride,Connectivity InChIKey
CID000003404,DB00176,Fluvoxamine,PubChem CID
CID000003324,DB00426,Famciclovir,PubChem CID
