InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C9H12O4/c10-5-7(11)6-13-9-4-2-1-3-8(9)12/h1-4,7,10-12H,5-6H2",YFTRBASNPFHPAJ-UHFFFAOYSA-N,OC1=CC=CC=C1OCC(CO)O,,,C9H12O4,184.073558864,0.4961000000000004,0,1,1,BTM00001,BTM00001,O-Dealkylation,BTMR0052,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,,COC1=CC=CC=C1OCC(CO)O,"InChI=1S/C10H14O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-5,8,11-12H,6-7H2,1H3",HSRJKNPTNIJEKV-UHFFFAOYSA-N,,198.0892
"InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3",LHGVFZTZFXWLCP-UHFFFAOYSA-N,COC1=CC=CC=C1O,,,C7H8O2,124.052429496,1.5462000000000002,0,0,0,BTM00002,BTM00002,O-Dealkylation,BTMR0052,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,,COC1=CC=CC=C1OCC(CO)O,"InChI=1S/C10H14O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-5,8,11-12H,6-7H2,1H3",HSRJKNPTNIJEKV-UHFFFAOYSA-N,,198.0892
"InChI=1S/C3H6O3/c4-1-3(6)2-5/h1,3,5-6H,2H2",MNQZXJOMYWMBOU-UHFFFAOYSA-N,C(C(CO)O)=O,,,C3H6O3,90.03169405199999,-1.1518000000000004,0,0,0,BTM00003,BTM00003,O-Dealkylation,BTMR0052,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,,COC1=CC=CC=C1OCC(CO)O,"InChI=1S/C10H14O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-5,8,11-12H,6-7H2,1H3",HSRJKNPTNIJEKV-UHFFFAOYSA-N,,198.0892
"InChI=1S/C10H12O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-6,8,12H,7H2,1H3",HEJKGTYUZGMFAX-UHFFFAOYSA-N,COC1=CC=CC=C1OCC(C=O)O,,,C10H12O4,196.073558864,1.003400000000001,0,0,0,BTM00004,BTM00004,Oxidation of primary alcohol to aldehyde,BTMR0105,"CYP1A2
CYP2E1
CYP3A4",HUMAN,,COC1=CC=CC=C1OCC(CO)O,"InChI=1S/C10H14O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-5,8,11-12H,6-7H2,1H3",HSRJKNPTNIJEKV-UHFFFAOYSA-N,,198.0892
"InChI=1S/C13H16O8/c1-19-6-4-2-3-5-7(6)20-13-10(16)8(14)9(15)11(21-13)12(17)18/h2-5,8-11,13-16H,1H3,(H,17,18)",BVGHUFFNGDIDBF-UHFFFAOYSA-N,COC1=CC=CC=C1OC2OC(C(O)=O)C(C(C2O)O)O,,,C13H16O8,300.084517472,-0.14929999999999913,0,1,1,BTM00005,BTM00005,Aromatic OH-glucuronidation,BTMR0166,EC 2.4.1.17,HUMAN,BTM00002,COC1=CC=CC=C1O,"InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3",LHGVFZTZFXWLCP-UHFFFAOYSA-N,1.5462000000000002,124.052429496
"InChI=1S/C7H8O5S/c1-11-6-4-2-3-5-7(6)12-13(8,9)10/h2-5H,1H3,(H,8,9,10)",AQTYXAPIHMXAAV-UHFFFAOYSA-N,COC1=CC=CC=C1OS(O)(=O)=O,,,C7H8O5S,204.00924435599998,0.8094000000000001,0,0,0,BTM00006,BTM00006,Sulfonation of phenolic compound,BTMR1376,EC 2.8.2.1,HUMAN,BTM00002,COC1=CC=CC=C1O,"InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3",LHGVFZTZFXWLCP-UHFFFAOYSA-N,1.5462000000000002,124.052429496
"InChI=1S/C8H10O2/c1-9-7-5-3-4-6-8(7)10-2/h3-6H,1-2H3",ABDKAPXRBAPSQN-UHFFFAOYSA-N,COC1=CC=CC=C1OC,,,C8H10O2,138.06807956,1.7972000000000001,0,0,0,BTM00007,BTM00007,Methylation of phenolic compound,BTMR1377,EC 2.1.1.25,HUMAN,BTM00002,COC1=CC=CC=C1O,"InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3",LHGVFZTZFXWLCP-UHFFFAOYSA-N,1.5462000000000002,124.052429496
"InChI=1S/C10H14O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-5,8,11-12H,6-7H2,1H3",HSRJKNPTNIJEKV-UHFFFAOYSA-N,COC1=CC=CC=C1OCC(CO)O,,,C10H14O4,198.0892,,0,0,0,,,Reduction of aldehyde,BTMR0367,EC 1.1.1.184,HUMAN,BTM00004,COC1=CC=CC=C1OCC(C=O)O,"InChI=1S/C10H12O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-6,8,12H,7H2,1H3",HEJKGTYUZGMFAX-UHFFFAOYSA-N,1.003400000000001,196.073558864
"InChI=1S/C10H12O5/c1-14-8-4-2-3-5-9(8)15-6-7(11)10(12)13/h2-5,7,11H,6H2,1H3,(H,12,13)",MXVBBOLVTSAHEX-UHFFFAOYSA-N,COC1=CC=CC=C1OCC(C(=O)O)O,,,C10H12O5,212.06847348399998,0.9560000000000002,0,0,0,BTM00008,BTM00008,Aldehyde oxidation,BTMR0050,EC 1.2.3.1,HUMAN,BTM00004,COC1=CC=CC=C1OCC(C=O)O,"InChI=1S/C10H12O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-6,8,12H,7H2,1H3",HEJKGTYUZGMFAX-UHFFFAOYSA-N,1.003400000000001,196.073558864
"InChI=1S/C16H20O10/c1-23-9-4-2-3-5-10(9)24-7-8(6-17)25-16-13(20)11(18)12(19)14(26-16)15(21)22/h2-6,8,11-14,16,18-20H,7H2,1H3,(H,21,22)",IRQNANRLONCBJN-UHFFFAOYSA-N,COC1=CC=CC=C1OCC(C=O)OC2OC(C(O)=O)C(C(C2O)O)O,,,C16H20O10,372.10564683999996,-0.5345999999999973,0,1,1,BTM00009,BTM00009,Alkyl-OH-glucuronidation,BTMR0165,EC 2.4.1.17,HUMAN,BTM00004,COC1=CC=CC=C1OCC(C=O)O,"InChI=1S/C10H12O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-6,8,12H,7H2,1H3",HEJKGTYUZGMFAX-UHFFFAOYSA-N,1.003400000000001,196.073558864
