InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C17H19NO4/c1-18-5-4-17-13-8-2-3-10(19)15(13)22-16(17)12(21)7-11(20)14(17)9(18)6-8/h2-3,9,11,14,16,19-20H,4-7H2,1H3",HKUBHNBSWVSAAH-UHFFFAOYSA-N,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4O,,,C17H19NO4,301.131408088,0.5605999999999975,0,0,0,BTM00004,BTM00004,Hydroxylation of alicyclic secondary carbon,BTMR1068,"CYP1A2
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,"InChI=1S/C17H19NO3/c1-18-7-6-17-10-3-5-13(20)16(17)21-15-12(19)4-2-9(14(15)17)8-11(10)18/h2,4,10-11,16,19H,3,5-8H2,1H3",WVLOADHCBXTIJK-UHFFFAOYSA-N,,285.1364
"InChI=1S/C17H19NO4/c1-18(21)7-6-17-10-3-5-13(20)16(17)22-15-12(19)4-2-9(14(15)17)8-11(10)18/h2,4,10-11,16,19H,3,5-8H2,1H3",XDOZFXQPRPKZLY-UHFFFAOYSA-N,C[N+]1(CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4)[O-],,,C17H19NO4,301.131408088,1.2517999999999978,0,0,0,BTM00005,BTM00005,N-Oxidation of alicyclic tertiary amine,BTMR1099,"CYP1A2
CYP2C8
CYP2C19
CYP2D6
CYP3A4",HUMAN,,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,"InChI=1S/C17H19NO3/c1-18-7-6-17-10-3-5-13(20)16(17)21-15-12(19)4-2-9(14(15)17)8-11(10)18/h2,4,10-11,16,19H,3,5-8H2,1H3",WVLOADHCBXTIJK-UHFFFAOYSA-N,,285.1364
"InChI=1S/C16H17NO3/c18-11-3-1-8-7-10-9-2-4-12(19)15-16(9,5-6-17-10)13(8)14(11)20-15/h1,3,9-10,15,17-18H,2,4-7H2",SWIRXSKBBSJXGY-UHFFFAOYSA-N,N1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,,,C16H17NO3,271.120843404,1.1210000000000004,0,0,0,BTM00006,BTM00006,N-Dealkylation of alicyclic tertiary amine,BTMR1144,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,"InChI=1S/C17H19NO3/c1-18-7-6-17-10-3-5-13(20)16(17)21-15-12(19)4-2-9(14(15)17)8-11(10)18/h2,4,10-11,16,19H,3,5-8H2,1H3",WVLOADHCBXTIJK-UHFFFAOYSA-N,,285.1364
"InChI=1S/C17H19NO4/c1-18-10-6-8-2-4-11(19)15-14(8)17(7-13(18)21)9(10)3-5-12(20)16(17)22-15/h2,4,9-10,13,16,19,21H,3,5-7H2,1H3",NHAMEGBLCNHUGE-UHFFFAOYSA-N,CN1C(CC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4)O,,,C17H19NO4,301.131408088,1.0583999999999991,0,0,0,BTM00007,BTM00007,Hydroxylation of heteroalicyclic secondary carbon,BTMR1070,"CYP1A2
CYP2A6
CYP2C9
CYP2D6
CYP3A4",HUMAN,,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,"InChI=1S/C17H19NO3/c1-18-7-6-17-10-3-5-13(20)16(17)21-15-12(19)4-2-9(14(15)17)8-11(10)18/h2,4,10-11,16,19H,3,5-8H2,1H3",WVLOADHCBXTIJK-UHFFFAOYSA-N,,285.1364
"InChI=1S/C17H19NO4/c1-18-7-13(21)17-9-3-5-12(20)16(17)22-15-11(19)4-2-8(14(15)17)6-10(9)18/h2,4,9-10,13,16,19,21H,3,5-7H2,1H3",TWTZWWGMXSFBGS-UHFFFAOYSA-N,CN1CC(C23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4)O,,,C17H19NO4,301.131408088,0.8249999999999972,0,0,0,BTM00008,BTM00008,Hydroxylation of heteroalicyclic secondary carbon,BTMR1071,CYP1A2,HUMAN,,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,"InChI=1S/C17H19NO3/c1-18-7-6-17-10-3-5-13(20)16(17)21-15-12(19)4-2-9(14(15)17)8-11(10)18/h2,4,10-11,16,19H,3,5-8H2,1H3",WVLOADHCBXTIJK-UHFFFAOYSA-N,,285.1364
"InChI=1S/C17H19NO4/c1-18-7-6-17-9-3-5-11(20)16(17)22-15-10(19)4-2-8(12(15)17)14(21)13(9)18/h2,4,9,13-14,16,19,21H,3,5-7H2,1H3",WKSFOMWOSCLDLO-UHFFFAOYSA-N,CN1CCC23C4C1C(C5=C2C(=C(C=C5)O)OC3C(=O)CC4)O,,,C17H19NO4,301.131408088,0.8249999999999972,0,0,0,BTM00009,BTM00009,Hydroxylation of heteroalicyclic secondary carbon,BTMR1071,CYP1A2,HUMAN,,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,"InChI=1S/C17H19NO3/c1-18-7-6-17-10-3-5-13(20)16(17)21-15-12(19)4-2-9(14(15)17)8-11(10)18/h2,4,10-11,16,19H,3,5-8H2,1H3",WVLOADHCBXTIJK-UHFFFAOYSA-N,,285.1364
"InChI=1S/C17H19NO4/c1-18-5-4-17-9-7-12(20)14(21)16(17)22-15-11(19)3-2-8(13(15)17)6-10(9)18/h2-3,9-10,12,16,19-20H,4-7H2,1H3",ULVSZJBXLDGQEJ-UHFFFAOYSA-N,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)C(C4)O,,,C17H19NO4,301.131408088,0.9763999999999978,0,0,0,BTM00010,BTM00010,alpha-Hydroxylation of carbonyl group,BTMR1054,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,"InChI=1S/C17H19NO3/c1-18-7-6-17-10-3-5-13(20)16(17)21-15-12(19)4-2-9(14(15)17)8-11(10)18/h2,4,10-11,16,19H,3,5-8H2,1H3",WVLOADHCBXTIJK-UHFFFAOYSA-N,,285.1364
"InChI=1S/C17H19NO4/c1-18-7-6-16-13-9-2-3-10(19)14(13)22-15(16)11(20)4-5-17(16,21)12(18)8-9/h2-3,12,15,19,21H,4-8H2,1H3",UQCNKQCJZOAFTQ-UHFFFAOYSA-N,CN1CCC23C4(C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4)O,,,C17H19NO4,301.13140808800006,0.7781999999999974,0,0,0,BTM00011,BTM00011,Hydroxylation of alicyclic tertiary carbon,BTMR1243,CYP1A2,HUMAN,,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,"InChI=1S/C17H19NO3/c1-18-7-6-17-10-3-5-13(20)16(17)21-15-12(19)4-2-9(14(15)17)8-11(10)18/h2,4,10-11,16,19H,3,5-8H2,1H3",WVLOADHCBXTIJK-UHFFFAOYSA-N,,285.1364
"InChI=1S/C17H19NO4/c1-18-10-6-8-2-4-11(19)15-14(8)17(7-13(18)21)9(10)3-5-12(20)16(17)22-15/h2,4,9-10,13,16,19,21H,3,5-7H2,1H3",NHAMEGBLCNHUGE-UHFFFAOYSA-N,CN1C(CC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4)O,,,C17H19NO4,301.131408088,1.0583999999999991,0,0,0,BTM00007,BTM00007,Aliphatic hydroxylation of carbon alpha to secondary or tertiary alkyl-N,BTMR1081,"CYP2B6
CYP2C19
CYP2D6",HUMAN,,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,"InChI=1S/C17H19NO3/c1-18-7-6-17-10-3-5-13(20)16(17)21-15-12(19)4-2-9(14(15)17)8-11(10)18/h2,4,10-11,16,19H,3,5-8H2,1H3",WVLOADHCBXTIJK-UHFFFAOYSA-N,,285.1364
"InChI=1S/C17H19NO4/c1-18-7-6-16-12-5-4-11(20)15(16)22-14-10(19)3-2-9(13(14)16)8-17(12,18)21/h2-3,12,15,19,21H,4-8H2,1H3",XCTKVQPYVDRNLO-UHFFFAOYSA-N,CN1CCC23C4C1(CC5=C2C(=C(C=C5)O)OC3C(=O)CC4)O,,,C17H19NO4,301.131408088,0.878799999999997,0,0,0,BTM00012,BTM00012,Aliphatic hydroxylation of carbon alpha to secondary or tertiary alkyl-N,BTMR1081,"CYP2B6
CYP2C19
CYP2D6",HUMAN,,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,"InChI=1S/C17H19NO3/c1-18-7-6-17-10-3-5-13(20)16(17)21-15-12(19)4-2-9(14(15)17)8-11(10)18/h2,4,10-11,16,19H,3,5-8H2,1H3",WVLOADHCBXTIJK-UHFFFAOYSA-N,,285.1364
