twosides_drug_id,twosides_raw_name,matched_drugbank_id,matched_drugbank_name,match_method
CID000002173,,,,Unmatched
CID000003345,,DB00813,Fentanyl,Salt-Stripped SMILES
CID000005206,,DB01236,Sevoflurane,Salt-Stripped SMILES
CID000009433,,DB01223,Aminophylline,Salt-Stripped SMILES
CID000003929,,,,Unmatched
CID000150610,,,,Unmatched
CID000001302,,,,Unmatched
CID000005064,,,,Unmatched
CID000005267,,,,Unmatched
CID000010631,,,,Unmatched
CID000004601,,DB01173,Orphenadrine,Salt-Stripped SMILES
CID000005376,,,,Unmatched
CID000005090,,DB00533,Rofecoxib,Salt-Stripped SMILES
CID000005556,,DB00897,Triazolam,Salt-Stripped SMILES
CID000004946,,DB00571,Propranolol,Salt-Stripped SMILES
CID000130881,,,,Unmatched
CID000005391,,DB00231,Temazepam,Salt-Stripped SMILES
CID000005584,,DB00726,Trimipramine,Salt-Stripped SMILES
CID000002802,,DB01068,Clonazepam,Salt-Stripped SMILES
CID005381226,,,,Unmatched
CID000004212,,DB01204,Mitoxantrone,Salt-Stripped SMILES
CID000060953,,,,Unmatched
CID000000596,,,,Unmatched
CID000005726,,,,Unmatched
CID000002522,,,,Unmatched
CID000003308,,DB00749,Etodolac,Salt-Stripped SMILES
CID000003405,,,,Unmatched
CID000060795,,DB01238,Aripiprazole,Salt-Stripped SMILES
CID000003446,,DB00996,Gabapentin,Salt-Stripped SMILES
CID004183806,,,,Unmatched
CID000004107,,DB00423,Methocarbamol,Salt-Stripped SMILES
CID000004917,,DB00433,Prochlorperazine,Salt-Stripped SMILES
CID000003161,,,,Unmatched
CID000071329,,DB00204,Dofetilide,Salt-Stripped SMILES
CID000003823,,DB01026,Ketoconazole,Salt-Stripped SMILES
CID000003911,,,,Unmatched
CID000054454,,,,Unmatched
CID000002156,,,,Unmatched
CID000004411,,,,Unmatched
CID000002907,,DB00531,Cyclophosphamide,Salt-Stripped SMILES
CID000004192,,DB00683,Midazolam,Salt-Stripped SMILES
CID000083786,,,,Unmatched
CID000003348,,DB00950,Fexofenadine,Salt-Stripped SMILES
CID000000838,,,,Unmatched
CID000002617,,,,Unmatched
CID000001986,,DB00819,Acetazolamide,Salt-Stripped SMILES
CID000006691,,,,Unmatched
CID000004920,,,,Unmatched
CID000005478,,,,Unmatched
CID006398525,,,,Unmatched
CID000003937,,,,Unmatched
CID005311048,,,,Unmatched
CID000004158,,DB00422,Methylphenidate,Salt-Stripped SMILES
CID000005523,,DB00193,Tramadol,Salt-Stripped SMILES
CID000003696,,DB00458,Imipramine,Salt-Stripped SMILES
CID000004112,,,,Unmatched
CID000003899,,DB01097,Leflunomide,Salt-Stripped SMILES
CID000004473,,,,Unmatched
CID000000853,,,,Unmatched
CID005311181,,,,Unmatched
CID000032797,,,,Unmatched
CID000059708,,DB11868,Etiracetam,Salt-Stripped SMILES
CID000003826,,DB00465,Ketorolac,Salt-Stripped SMILES
CID000003143,,,,Unmatched
CID000004736,,DB00652,Pentazocine,Salt-Stripped SMILES
CID000005038,,,,Unmatched
CID000005039,,DB00863,Ranitidine,Salt-Stripped SMILES
CID000005005,,,,Unmatched
CID005493444,,,,Unmatched
CID000003261,,DB01215,Estazolam,Salt-Stripped SMILES
CID000003746,,,,Unmatched
CID000028112,,,,Unmatched
CID000002162,,DB00381,Amlodipine,Salt-Stripped SMILES
CID000003386,,DB00472,Fluoxetine,Salt-Stripped SMILES
CID000004259,,,,Unmatched
CID000119607,,DB00580,Valdecoxib,Salt-Stripped SMILES
CID000087177,,,,Unmatched
CID000003957,,DB00455,Loratadine,Salt-Stripped SMILES
CID000004509,,,,Unmatched
CID000004595,,DB00904,Ondansetron,Salt-Stripped SMILES
CID000104865,,DB00559,Bosentan,Salt-Stripped SMILES
CID000002666,,,,Unmatched
CID000003007,,DB00182,Amphetamine,Salt-Stripped SMILES
CID000004506,,DB01595,Nitrazepam,Salt-Stripped SMILES
CID000003559,,DB00502,Haloperidol,Salt-Stripped SMILES
CID000004909,,DB00794,Primidone,Salt-Stripped SMILES
CID000060831,,,,Unmatched
CID000002520,,DB00661,Verapamil,Salt-Stripped SMILES
CID000060852,,DB00710,Ibandronate,Salt-Stripped SMILES
CID000060854,,DB00246,Ziprasidone,Salt-Stripped SMILES
CID000004889,,,,Unmatched
CID000003958,,DB00186,Lorazepam,Salt-Stripped SMILES
CID005353980,,,,Unmatched
CID000005505,,DB01124,Tolbutamide,Salt-Stripped SMILES
CID000216326,,DB00480,Lenalidomide,Salt-Stripped SMILES
CID000038904,,,,Unmatched
CID005281007,,,,Unmatched
CID000004485,,DB01115,Nifedipine,Salt-Stripped SMILES
CID000004539,,DB01059,Norfloxacin,Salt-Stripped SMILES
CID000005245,,DB00884,Risedronic acid,Salt-Stripped SMILES
